canonical_topic_id,canonical_topic_name,assigned_comment_count,mean_confidence,median_confidence,p10_confidence,p90_confidence,low_confidence_count,low_confidence_rate,review_confidence_count,review_confidence_rate,confidence_source
APEX-T001,排位与匹配,92,0.849944,0.899926,0.734233,1.0,1,0.01087,4,0.043478,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T002,赛季更新与玩法机制,75,0.892464,1.0,0.70661,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T003,赛事与主播,72,0.783303,0.794397,0.528662,1.0,1,0.013889,22,0.305556,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T004,英雄技能与武器平衡,66,0.574185,0.290712,0.260279,1.0,38,0.575758,40,0.606061,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T005,皮肤、外观与商业化,60,0.709582,0.961799,0.232838,1.0,18,0.3,29,0.483333,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T006,赛博朋克联动与手柄体验,41,1.0,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T007,UP主视频反馈与设置求助,39,0.982114,1.0,0.915197,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T008,英雄与武器强度,39,0.966169,1.0,0.815137,1.0,0,0.0,1,0.025641,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T009,皮肤外观与操作体验混合,36,1.0,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T010,赛事与主播竞技讨论,33,0.997993,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T011,版本、排位与赛事混合,32,0.999369,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T012,皮肤审美与官方运营,31,0.999841,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
APEX-T013,武器与英雄强度,30,1.0,1.0,1.0,1.0,0,0.0,0,0.0,BERTopic model.probabilities_ (HDBSCAN membership probability)
